split,zero_output,linear_in_input,constant_output
61,201,185,43
15,16,27,0
21,91,67,0
80,192,183,35
19,12,27,0
23,94,62,0
54,194,184,58
24,11,23,0
23,77,79,0
67,200,169,54
15,15,28,0
12,109,58,0
59,179,159,93
14,16,28,0
30,51,98,0
85,211,189,5
23,13,22,0
23,83,73,0
72,192,179,47
20,9,29,0
21,97,61,0
62,192,170,66
16,14,28,0
15,110,54,0
83,163,168,76
25,8,25,0
12,127,40,0
44,174,142,130
12,14,32,0
29,64,86,0
60,212,198,20
21,15,22,0
35,72,72,0
78,190,173,49
29,10,19,0
7,124,48,0
36,187,134,133
8,18,32,0
20,79,80,0
62,204,167,57
25,9,24,0
21,57,101,0
61,204,197,28
21,11,26,0
10,129,40,0
42,178,129,141
16,11,31,0
24,97,58,0
55,182,186,67
15,16,27,0
14,116,49,0
51,181,136,122
11,14,33,0
20,67,92,0
64,207,185,34
22,12,24,0
24,58,97,0
69,210,202,9
21,17,20,0
17,42,120,0
65,224,178,23
23,11,24,0
16,128,35,0
51,166,132,141
12,13,33,0
21,75,83,0
69,192,176,53
24,9,25,0
19,68,92,0
64,207,197,22
22,11,25,0
10,141,28,0
49,156,116,169
15,11,32,0
14,119,46,0
34,176,167,113
23,10,25,0
27,68,84,0
67,194,180,49
21,10,27,0
21,104,54,0
54,173,165,98
17,16,25,0
21,78,80,0
63,196,170,61
12,15,31,0
17,96,66,0
62,192,174,62
19,17,22,0
16,111,52,0
61,176,157,96
16,13,29,0
20,72,87,0
71,196,195,28
24,10,24,0
31,83,65,0
72,195,195,28
19,10,29,0
17,81,81,0
76,183,170,61
29,7,22,0
17,84,78,0
85,180,193,32
21,14,23,0
17,100,62,0
64,192,156,78
25,7,26,0
23,90,66,0
75,186,190,39
20,11,27,0
7,121,51,0
32,185,151,122
15,18,25,0
16,95,68,0
57,189,183,61
22,14,22,0
21,79,79,0
92,190,187,21
26,14,18,0
23,62,94,0
78,200,176,36
21,13,24,0
24,75,80,0
74,191,173,52
24,9,25,0
24,78,77,0
68,196,188,38
22,6,30,0
18,109,52,0
55,172,153,110
20,8,30,0
8,137,34,0
36,169,129,156
18,10,30,0
17,128,34,0
41,169,146,134
13,13,32,0
19,94,66,0
67,183,197,43
21,10,27,0
25,86,68,0
66,197,201,26
15,19,24,0
19,104,56,0
66,164,178,82
25,10,23,0
11,78,90,0
54,206,180,50
19,14,25,0
11,126,42,0
58,159,155,118
17,16,25,0
20,70,89,0
79,192,185,34
22,10,26,0
14,134,31,0
37,166,145,142
16,11,31,0
25,90,64,0
68,198,167,57
20,8,30,0
17,112,50,0
55,168,171,96
19,14,25,0
15,127,37,0
46,163,146,135
9,15,34,0
14,98,67,0
41,199,157,93
18,12,28,0
22,51,106,0
62,213,194,21
18,15,25,0
19,63,97,0
72,195,198,25
19,9,30,0
22,98,59,0
60,180,171,79
17,11,30,0
14,129,36,0
40,170,136,144
18,10,30,0
31,92,56,0
85,166,174,65
25,6,27,0
24,65,90,0
60,202,204,24
29,9,20,0
18,83,78,0
50,206,181,53
20,11,27,0
29,86,64,0
60,187,201,42
24,11,23,0
21,99,59,0
60,189,183,58
20,12,26,0
13,97,69,0
52,197,184,57
12,12,34,0
15,67,97,0
55,215,193,27
16,14,28,0
22,84,73,0
87,183,158,62
28,9,21,0
26,70,83,0
90,200,179,21
23,14,21,0
33,73,73,0
91,174,182,43
25,9,24,0
26,81,72,0
77,184,196,33
27,10,21,0
16,81,82,0
46,206,179,59
14,18,26,0
29,32,118,0
62,225,196,7
20,15,23,0
10,66,103,0
69,219,181,21
16,19,23,0
21,71,87,0
85,190,184,31
18,15,25,0
13,120,46,0
45,179,155,111
9,15,34,0
10,116,53,0
45,181,165,99
20,14,24,0
14,115,50,0
55,174,154,107
19,14,25,0
13,52,114,0
60,222,194,14
24,16,18,0
19,82,78,0
47,197,188,58
17,17,24,0
22,97,60,0
49,177,174,90
