split,zero_output,linear_in_input,constant_output
13,93,68,0
102,283,347,48
21,18,30,0
23,61,90,0
131,304,332,13
34,14,21,0
23,78,73,0
140,259,329,52
34,5,30,0
27,69,78,0
171,264,329,16
32,16,21,0
36,64,74,0
156,245,350,29
35,4,30,0
35,66,73,0
136,272,352,20
26,11,32,0
21,74,79,0
88,305,346,41
21,11,37,0
29,32,113,0
147,298,332,3
30,15,24,0
24,53,97,0
133,320,319,8
25,18,26,0
41,57,76,0
121,299,349,11
28,17,24,0
18,113,43,0
93,244,299,144
19,10,40,0
13,107,54,0
93,269,291,127
16,16,37,0
18,106,50,0
99,261,336,84
19,7,43,0
17,50,107,0
104,316,344,16
23,14,32,0
21,71,82,0
92,291,355,42
21,15,33,0
31,85,58,0
102,260,371,47
23,4,42,0
24,93,57,0
106,266,338,70
28,9,32,0
14,116,44,0
71,256,304,149
17,11,41,0
23,87,64,0
107,263,336,74
32,2,35,0
32,68,74,0
139,279,342,20
28,13,28,0
22,122,30,0
96,233,237,214
16,10,43,0
32,96,46,0
126,244,344,66
27,8,34,0
26,81,67,0
138,288,346,8
23,16,30,0
22,85,67,0
103,281,338,58
24,7,38,0
20,88,66,0
97,290,343,50
20,17,32,0
22,63,89,0
165,284,327,4
28,17,24,0
21,77,76,0
117,282,354,27
22,9,38,0
22,95,57,0
102,267,343,68
31,3,35,0
11,124,39,0
88,239,237,216
19,7,43,0
30,70,74,0
118,268,365,29
26,6,37,0
25,75,74,0
142,270,324,44
27,8,34,0
18,118,38,0
88,249,306,137
13,13,43,0
39,65,70,0
192,226,325,37
37,6,26,0
25,97,52,0
104,260,311,105
13,10,46,0
31,77,66,0
125,263,329,63
35,7,27,0
16,94,64,0
128,257,325,70
30,4,35,0
19,81,74,0
117,275,331,57
23,12,34,0
30,71,73,0
136,273,307,64
29,6,34,0
28,39,107,0
119,314,336,11
26,15,28,0
23,96,55,0
106,261,360,53
17,12,40,0
30,91,53,0
115,267,331,67
27,11,31,0
19,25,130,0
129,341,308,2
23,21,25,0
32,63,79,0
118,288,360,14
28,15,26,0
32,60,82,0
113,313,310,44
20,15,34,0
33,89,52,0
161,221,337,61
40,3,26,0
29,62,83,0
136,293,338,13
31,9,29,0
37,71,66,0
142,266,339,33
26,19,24,0
