split,zero_output,linear_in_input,constant_output
25,7,23,0
78,94,87,0
115,176,256,0
28,9,18,0
86,111,62,0
47,153,347,0
16,14,25,0
87,80,92,0
84,193,270,0
22,6,27,0
71,63,125,0
101,201,245,0
23,11,21,0
94,118,47,0
56,143,348,0
14,14,27,0
94,99,66,0
90,162,295,0
18,12,25,0
90,112,57,0
73,136,338,0
25,9,21,0
65,76,118,0
98,208,241,0
26,9,20,0
59,77,123,0
117,213,217,0
24,13,18,0
60,49,150,0
108,200,239,0
25,10,20,0
95,126,38,0
68,132,347,0
12,13,30,0
84,80,95,0
106,165,276,0
25,9,21,0
71,80,108,0
97,205,245,0
24,7,24,0
101,131,27,0
63,122,362,0
19,7,29,0
88,118,53,0
77,134,336,0
28,7,20,0
80,81,98,0
94,182,271,0
25,8,22,0
85,109,65,0
62,154,331,0
12,17,26,0
74,90,95,0
89,164,294,0
22,11,22,0
88,96,75,0
82,193,272,0
19,11,25,0
93,113,53,0
62,161,324,0
17,14,24,0
77,82,100,0
115,198,234,0
23,10,22,0
87,94,78,0
129,163,255,0
21,7,27,0
87,86,86,0
114,155,278,0
39,1,15,0
78,96,85,0
133,166,248,0
27,10,18,0
90,100,69,0
95,162,290,0
32,6,17,0
87,98,74,0
110,178,259,0
27,4,24,0
86,115,58,0
62,170,315,0
10,15,30,0
73,103,83,0
74,177,296,0
21,12,22,0
78,93,88,0
144,167,236,0
26,11,18,0
76,72,111,0
113,193,241,0
26,11,18,0
80,83,96,0
117,168,262,0
26,8,21,0
77,90,92,0
107,188,252,0
26,8,21,0
90,106,63,0
88,152,307,0
21,10,24,0
98,127,34,0
67,125,355,0
12,12,31,0
93,127,39,0
49,133,365,0
16,11,28,0
87,99,73,0
100,159,288,0
21,5,29,0
74,107,78,0
87,201,259,0
18,17,20,0
90,108,61,0
105,141,301,0
21,10,24,0
72,74,113,0
86,202,259,0
20,10,25,0
87,123,49,0
93,138,316,0
12,8,35,0
75,82,102,0
104,181,262,0
27,11,17,0
96,129,34,0
68,118,361,0
14,10,31,0
76,100,83,0
99,172,276,0
26,10,19,0
87,113,59,0
88,149,310,0
20,12,23,0
90,127,42,0
69,132,346,0
14,12,29,0
75,97,87,0
78,164,305,0
22,10,23,0
74,59,126,0
103,208,236,0
17,10,28,0
80,69,110,0
111,196,240,0
25,5,25,0
84,102,73,0
91,158,298,0
26,7,22,0
99,124,36,0
61,139,347,0
11,12,32,0
98,103,58,0
106,158,283,0
27,7,21,0
71,76,112,0
135,184,228,0
27,9,19,0
75,90,94,0
100,167,280,0
22,9,24,0
82,96,81,0
128,169,250,0
21,11,23,0
92,103,64,0
99,160,288,0
21,10,24,0
84,97,78,0
95,167,285,0
14,16,25,0
65,76,118,0
106,206,235,0
16,11,28,0
85,87,87,0
122,160,265,0
31,4,20,0
71,87,101,0
157,173,217,0
37,6,12,0
81,93,85,0
106,171,270,0
27,7,21,0
82,89,88,0
112,170,265,0
22,8,25,0
69,88,102,0
81,182,284,0
17,17,21,0
61,52,146,0
117,213,217,0
24,10,21,0
67,65,127,0
88,228,231,0
13,17,25,0
79,82,98,0
106,197,244,0
22,10,23,0
87,119,53,0
55,141,351,0
17,11,27,0
85,109,65,0
72,153,320,2
15,13,27,0
94,114,51,0
87,147,313,0
18,9,28,0
63,59,137,0
88,232,227,0
22,11,22,0
60,90,109,0
91,196,260,0
16,10,29,0
84,106,69,0
94,152,301,0
23,10,22,0
96,105,58,0
80,167,300,0
16,9,30,0
93,118,48,0
59,144,344,0
18,12,25,0
83,100,76,0
84,157,306,0
22,7,26,0
74,86,99,0
122,172,253,0
21,7,27,0
93,135,31,0
69,123,355,0
20,8,27,0
93,112,54,0
106,139,302,0
29,4,22,0
75,95,89,0
112,179,256,0
17,8,30,0
85,93,81,0
91,169,287,0
25,7,23,0
78,98,83,0
77,163,307,0
15,14,26,0
73,83,103,0
141,177,229,0
12,14,29,0
84,93,82,0
97,162,288,0
27,10,18,0
86,108,65,0
106,146,295,0
30,3,22,0
93,127,39,0
60,133,354,0
20,9,26,0
83,93,83,0
108,164,275,0
27,8,20,0
74,92,93,0
124,168,255,0
27,10,18,0
95,124,40,0
71,126,350,0
14,11,30,0
94,91,74,0
162,145,240,0
34,3,18,0
84,110,65,0
84,141,322,0
15,14,26,0
86,92,81,0
118,160,269,0
24,7,24,0
88,100,71,0
90,156,301,0
28,4,23,0
86,85,88,0
90,177,280,0
18,10,27,0
83,95,81,0
108,166,273,0
26,6,23,0
52,54,153,0
88,227,232,0
22,11,22,0
83,112,64,0
84,158,305,0
15,9,31,0
82,105,72,0
83,154,310,0
31,7,17,0
37,44,178,0
90,248,209,0
15,15,25,0
85,83,91,0
